test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID||mopParticipantID||data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
47-2|CPM Payment|MOP不支持交易币种（此用例使用个性化配置）-交易失败||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "CNY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0013","message":"Transaction currency not supported."}|||||all
49-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|||||||||{"brandID": "Auto_GrabPay_02", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
49-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:USD|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopConverterCurrencyFlag" : True,"wopConverterCurrencyFlag" : True,"billingConverterCurrencyFlag" : True}|||all
50-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|||||||||{"brandID": "Auto_GrabPay_02", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
50-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:USD|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
51-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_03","mopParticipantID":"MOP_Auto_GrabPay_03"}|||||||||{"brandID": "Auto_GrabPay_03", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
51-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:JPY,billingSettCurrency:USD|{"wopParticipantID":"WOP_Auto_JCoinPay_03","mopParticipantID":"MOP_Auto_GrabPay_03"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "JPY","wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
52-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_04","mopParticipantID":"MOP_Auto_GrabPay_04"}|||||||||{"brandID": "Auto_GrabPay_04", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
52-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:JPY,mopSettCurrency:CAD,billingSettCurrency:USD|{"wopParticipantID":"WOP_Auto_JCoinPay_04","mopParticipantID":"MOP_Auto_GrabPay_04"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "JPY","billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
53-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_03","mopParticipantID":"MOP_Auto_GrabPay_03"}|||||||||{"brandID": "Auto_GrabPay_03", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
53-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给WOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:JPY,billingSettCurrency:JPY|{"wopParticipantID":"WOP_Auto_JCoinPay_03","mopParticipantID":"MOP_Auto_GrabPay_03"}|tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_03"}|{"settleInfo.billingCurrency":"JPY"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "JPY","wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "JPY"}|||all
54-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_04","mopParticipantID":"MOP_Auto_GrabPay_04"}|||||||||{"brandID": "Auto_GrabPay_04", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
54-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:JPY,mopSettCurrency:CAD,billingSettCurrency:JPY|{"wopParticipantID":"WOP_Auto_JCoinPay_04","mopParticipantID":"MOP_Auto_GrabPay_04"}|tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_04"}|{"settleInfo.billingCurrency":"JPY"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
55-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_05","mopParticipantID":"MOP_Auto_GrabPay_05"}|||||||||{"brandID": "Auto_GrabPay_05", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
55-2|CPM Payment|evonet模式,个性化表settelcyrrency:'',evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:JPY,|{"wopParticipantID":"WOP_Auto_JCoinPay_05","mopParticipantID":"MOP_Auto_GrabPay_05"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :  0.12,"billingCurrency" : "JPY"}|||all
56-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
56-2|CPM Payment|个性化表isCPMsupported为false-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||customizeConfig|{"mopID":"MOP_Auto_GrabPay_B1"}|{"isCPMSupported" : False}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0021","message":"Transaction type unsupported."}|||||all
55-1|CPM Token|CPM Token-交易成功(修改过期时间)|||||||||||{"code": "S0000", "message": "Success."}|||||all
55-2|CPM Payment|CPM Payment-交易失败||tyo|tokenVault|{"qrList.0.value": "#mopToken#"}|{"qrList.0.expiryDate": "20190731180000+0800"}||||||{"code": "B0007", "message": "MOP token invalid."}|||||all
56-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
56-2|CPM Payment|CPM Payment-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "samemopOrderNumber123", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopConverterCurrencyFlag" : False,"wopConverterCurrencyFlag" : False,"billingConverterCurrencyFlag" : False}|||all
56-3|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
56-4|CPM Payment|CPM Payment-上送mopOrderNumber相同||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "samemopOrderNumber123", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
57-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_06","mopParticipantID":"MOP_Auto_GrabPay_06"}|||||||||{"brandID": "Auto_GrabPay_06", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
57-2|CPM Payment|evonet给MOP提供货币转换-transcurrency:JPY,mopsettleCurrency:CAD,wopsettleCurrency:CAD,billingCurrency:USD,计算清算mopsettcurrency与wopsettcurrency相同，transcurrency与wopsettcurrency不同|{"wopParticipantID":"WOP_Auto_JCoinPay_06","mopParticipantID":"MOP_Auto_GrabPay_06"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "CAD","wccr" : 0.12,"wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "CAD","billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
58-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_07","mopParticipantID":"MOP_Auto_GrabPay_07"}|||||||||{"brandID": "Auto_GrabPay_07", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
58-2|CPM Payment|evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:EUR|{"wopParticipantID":"WOP_Auto_JCoinPay_07","mopParticipantID":"MOP_Auto_GrabPay_07"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "EUR","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "EUR", "cccr" : 0.15}|||all
59-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_19","mopParticipantID":"MOP_Auto_GrabPay_19"}|||||||||{"brandID": "Auto_GrabPay_19", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
59-2|CPM Payment|反向汇率中间汇率直接汇率取值,mop：存在反向，中间汇率；wop:存在中间汇率；billing:正向，反向，中间汇率都存在，个性化表中wccr,mccr为null|{"wopParticipantID":"WOP_Auto_JCoinPay_19","mopParticipantID":"MOP_Auto_GrabPay_19"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "SGD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "SGD","mccr" : 0.17,"wopSettleCurrency" : "NOK","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "NOK","wccr" :0.12,"billingCurrency" : "THB","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "THB", "cccr" :  0.15}|||all
60-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_09","mopParticipantID":"MOP_Auto_GrabPay_09"}|||||||||{"brandID": "Auto_GrabPay_09", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
60-2|CPM Payment|transcurrency:JPY, mopsettleCurrency: CAD, wopsettleCurrency: EUR, billingCurrency: USD,无个性化配置，读取默认参数|{"wopParticipantID":"WOP_Auto_JCoinPay_09","mopParticipantID":"MOP_Auto_GrabPay_09"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.17,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
61-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_10","mopParticipantID":"MOP_Auto_GrabPay_10"}|||||||||{"brandID": "Auto_GrabPay_10", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
61-2|CPM Payment|transcurrency:JPY,mopsettleCurrency:JPY,wopsettleCurrency:EUR,billingCurrency:USD,无个性化配置，读取默认参数|{"wopParticipantID":"WOP_Auto_JCoinPay_10","mopParticipantID":"MOP_Auto_GrabPay_10"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "JPY","wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
62-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_13","mopParticipantID":"MOP_Auto_GrabPay_13"}|||||||||{"brandID": "Auto_GrabPay_13", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
62-2|CPM Payment|transcurrency:JPY,mopsettleCurrency:CAD,wopsettleCurrency:CAD,billingCurrency:USD,无个性化配置，读取默认参数|{"wopParticipantID":"WOP_Auto_JCoinPay_13","mopParticipantID":"MOP_Auto_GrabPay_13"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.17,"wopSettleCurrency" : "CAD","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "CAD","wccr" :0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
70-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_20","mopParticipantID":"MOP_Auto_GrabPay_20"}|||||||||{"brandID": "Auto_GrabPay_20", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
70-2|CPM Payment|反向汇率中间汇率直接汇率取值,mop：存在正向，反向，中间汇率；wop:存在反向，中间汇率；billing:中间汇率存在，个性化表中wccr,mccr为null|{"wopParticipantID":"WOP_Auto_JCoinPay_20","mopParticipantID":"MOP_Auto_GrabPay_20"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "RUB","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "RUB","mccr" : 0.17,"wopSettleCurrency" : "AUD","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "AUD","wccr" :0.12,"billingCurrency" : "KRW","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "KRW", "cccr" :  0.15}|||all
71-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_21","mopParticipantID":"MOP_Auto_GrabPay_21"}|||||||||{"brandID": "Auto_GrabPay_21", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
71-2|CPM Payment|反向汇率中间汇率直接汇率取值,mop：存在中间汇率；wop:存在反向汇率；billing:反向，中间汇率都存在，个性化表中wccr,mccr为null|{"wopParticipantID":"WOP_Auto_JCoinPay_21","mopParticipantID":"MOP_Auto_GrabPay_21"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "NZD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "NZD","mccr" : 0.17,"wopSettleCurrency" : "IDR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "IDR","wccr" :0.12,"billingCurrency" : "DKK","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "DKK", "cccr" :  0.15}|||all
72-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_A14","mopParticipantID":"MOP_Auto_GrabPay_A14"}|||||||||{"brandID": "Auto_GrabPay_A14", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
72-2|CPM Payment|交易失败CPM Payment-汇率表里没有该转换数据|{"wopParticipantID":"WOP_Auto_JCoinPay_A14","mopParticipantID":"MOP_Auto_GrabPay_A14"}|||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "E0002", "message": "Failed."}|||||all
73-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
73-2|CPM Payment|CPM Payment-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
73-2|CPM Payment|CPM Payment-token重复-交易失败||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "B0007", "message": "MOP token invalid."}|||||all
74-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
74-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为0.01||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "0.01"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
75-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
75-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为123456||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "123456"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
76-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_23","mopParticipantID":"MOP_Auto_GrabPay_23"}|||||WOP_Auto_JCoinPay_23||MOP_Auto_GrabPay_23||{"brandID": "Auto_GrabPay_23", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
76-2|CPM Payment|个性化表中mccr\wcccr为0|{"wopParticipantID":"WOP_Auto_JCoinPay_23","mopParticipantID":"MOP_Auto_GrabPay_23"}|||||WOP_Auto_JCoinPay_23||MOP_Auto_GrabPay_23||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.0,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :0.0,"billingCurrency" : "USD","cccr" : 0.15}|||all
62-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
62-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY,wccr为0,isbilling:false计算清算,取个性化表||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "CNY"}|||all
63-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
